event,id,date,strike,expiry,premium_paid,payoff,itm
BUY_HEDGE_PUT,1,2021-09-02,382.0,2021-09-13,409.34849999999994,,
BUY_HEDGE_PUT,2,2021-09-03,379.0,2021-09-15,352.0439999999999,,
BUY_HEDGE_PUT,3,2021-09-07,382.0,2021-09-20,463.08799999999997,,
BUY_HEDGE_PUT,4,2021-09-08,382.0,2021-09-20,588.4839999999999,,
BUY_HEDGE_PUT,5,2021-09-13,379.0,2021-09-24,645.9035,,
EXPIRE,1,2021-09-13,382.0,2021-09-13,409.34849999999994,300.9999999999991,1.0
BUY_HEDGE_PUT,6,2021-09-15,376.0,2021-09-27,475.4274999999999,,
EXPIRE,2,2021-09-15,379.0,2021-09-15,352.0439999999999,326.9999999999982,1.0
EXPIRE,3,2021-09-20,382.0,2021-09-20,463.08799999999997,1454.000000000002,1.0
EXPIRE,4,2021-09-20,382.0,2021-09-20,588.4839999999999,1454.000000000002,1.0
BUY_HEDGE_PUT,7,2021-09-24,371.0,2021-10-06,419.618,,
EXPIRE,5,2021-09-24,379.0,2021-09-24,645.9035,835.0000000000023,1.0
BUY_HEDGE_PUT,8,2021-09-27,370.0,2021-10-08,496.21950000000004,,
EXPIRE,6,2021-09-27,376.0,2021-09-27,475.4274999999999,580.0000000000011,1.0
EXPIRE,7,2021-10-06,371.0,2021-10-06,419.618,1692.0000000000016,1.0
EXPIRE,8,2021-10-08,370.0,2021-10-08,496.21950000000004,592.0000000000016,1.0
BUY_HEDGE_PUT,9,2021-11-17,398.0,2021-11-29,491.8035,,
BUY_HEDGE_PUT,10,2021-11-18,400.0,2021-11-29,413.35049999999995,,
BUY_HEDGE_PUT,11,2021-11-19,403.0,2021-12-01,471.50600000000003,,
BUY_HEDGE_PUT,12,2021-11-22,406.0,2021-12-03,554.2369999999999,,
BUY_HEDGE_PUT,13,2021-11-29,396.0,2021-12-10,660.8765,,
EXPIRE,9,2021-11-29,398.0,2021-11-29,491.8035,211.00000000000136,1.0
EXPIRE,10,2021-11-29,400.0,2021-11-29,413.35049999999995,411.00000000000136,1.0
EXPIRE,11,2021-12-01,403.0,2021-12-01,471.50600000000003,472.00000000000273,1.0
EXPIRE,12,2021-12-03,406.0,2021-12-03,554.2369999999999,1468.9999999999998,1.0
BUY_HEDGE_PUT,14,2021-12-07,393.0,2021-12-20,608.8044999999998,,
BUY_HEDGE_PUT,15,2021-12-08,398.0,2021-12-20,695.0429999999999,,
BUY_HEDGE_PUT,16,2021-12-10,397.0,2021-12-22,635.1854999999999,,
EXPIRE,13,2021-12-10,396.0,2021-12-10,660.8765,0.0,0.0
BUY_HEDGE_PUT,17,2021-12-15,388.0,2021-12-27,830.9154999999998,,
EXPIRE,14,2021-12-20,393.0,2021-12-20,608.8044999999998,1343.5000000000002,1.0
EXPIRE,15,2021-12-20,398.0,2021-12-20,695.0429999999999,1843.5000000000002,1.0
BUY_HEDGE_PUT,18,2021-12-22,389.0,2022-01-03,485.09899999999993,,
EXPIRE,16,2021-12-22,397.0,2021-12-22,635.1854999999999,808.9999999999975,1.0
